station_id,name,lat,lng,trips_ended,trips_started,trips_total,fpct_started,fpct_ended,fpct_total
448,W 37 St & 10 Ave,40.7566,-73.9979,16074,16003,32077,0.2191,0.2079,0.2135
352,W 56 St & 6 Ave,40.76341,-73.97722,16481,15507,31988,0.1764,0.1868,0.1818
474,5 Ave & E 29 St,40.74517,-73.98683,15720,16200,31920,0.2138,0.2146,0.2142
167,E 39 St & 3 Ave,40.7489,-73.97605,15614,16096,31710,0.1861,0.1931,0.1895
301,E 2 St & Avenue B,40.72217,-73.98369,16270,15218,31488,0.2797,0.2803,0.28
3002,South End Ave & Liberty St,40.71151,-74.01576,15197,15896,31093,0.281,0.2711,0.2762
2021,W 45 St & 8 Ave,40.75929,-73.9886,14536,16542,31078,0.1945,0.2049,0.1994
469,Broadway & W 53 St,40.76344,-73.98268,14541,16375,30916,0.1736,0.1806,0.1769
173,Broadway & W 49 St,40.76065,-73.98443,15060,15797,30857,0.1462,0.1431,0.1447
253,W 13 St & 5 Ave,40.73544,-73.99454,15155,15258,30413,0.2905,0.2913,0.2909
410,Suffolk St & Stanton St,40.72066,-73.98518,15437,14972,30409,0.3088,0.3003,0.3045
223,W 13 St & 7 Ave,40.73782,-73.99995,15283,15064,30347,0.2514,0.2565,0.254
379,W 31 St & 7 Ave,40.74916,-73.9916,13984,16349,30333,0.1618,0.1431,0.1532
428,E 3 St & 1 Ave,40.72468,-73.98783,15015,15279,30294,0.2907,0.2896,0.2902
536,1 Ave & E 30 St,40.74144,-73.97536,15537,14701,30238,0.2288,0.254,0.2417
281,Grand Army Plaza & Central Park S,40.7644,-73.97371,14801,15372,30173,0.1989,0.189,0.194
317,E 6 St & Avenue B,40.72454,-73.98185,14612,15214,29826,0.2739,0.2803,0.277
335,Washington Pl & Broadway,40.72904,-73.99405,14663,14785,29448,0.2194,0.2002,0.2098
524,W 43 St & 6 Ave,40.75527,-73.98317,14960,14370,29330,0.1452,0.1737,0.1597
422,W 59 St & 10 Ave,40.77051,-73.98804,14711,14598,29309,0.2396,0.2304,0.235
387,Centre St & Chambers St,40.71273,-74.00461,13164,16123,29287,0.2539,0.2613,0.2572
470,W 20 St & 8 Ave,40.74345,-74.00004,14656,14502,29158,0.2389,0.2486,0.2438
468,Broadway & W 55 St,40.76527,-73.98192,13173,15820,28993,0.1776,0.185,0.181
405,Washington St & Gansevoort St,40.73932,-74.00812,14375,14523,28898,0.2606,0.2557,0.2582
359,E 47 St & Park Ave,40.7551,-73.97499,14994,13887,28881,0.1426,0.1574,0.1503
297,E 15 St & 3 Ave,40.73423,-73.98692,14489,14365,28854,0.2679,0.2674,0.2676
